menu_id,path,evaluated_references,screening_status,behavior_tested,approved_for_generation
M241,ATA 36 - Pneumatic → Bleed leak → Pylon Engine 2,36-22-15 [X] F102,см. оценку каждого соответствия,False,False
M242,ATA 36 - Pneumatic → Bleed leak → Apu,,соответствие FAA MMEL пока не установлено,False,False
M243,ATA 49 - APU → ECB,49-10-01 [U] F104,см. оценку каждого соответствия,False,False
M244,ATA 49 - APU → APU Low oil level,,соответствие FAA MMEL пока не установлено,False,False
M245,ATA 49 - APU → APU fuel valve,49-30-02 [U] F105,см. оценку каждого соответствия,False,False
M246,ATA 23 - Communications → Stuck mic → Capt,,соответствие FAA MMEL пока не установлено,False,False
M247,ATA 23 - Communications → Stuck mic → F/o,,соответствие FAA MMEL пока не установлено,False,False
M248,ATA 30 - Ice and rain protection → WAI Valves → Left Wai Valve,30-11-01 [U] F057,см. оценку каждого соответствия,False,False
M249,ATA 30 - Ice and rain protection → WAI Valves → Right Wai Valve,30-11-01 [U] F057,см. оценку каждого соответствия,False,False
M250,ATA 30 - Ice and rain protection → EAI Valves → Eng 1 Eai Valve,30-21-01 [U] F058,см. оценку каждого соответствия,False,False
M251,ATA 30 - Ice and rain protection → EAI Valves → Eng 2 Eai Valve,30-21-01 [U] F058,см. оценку каждого соответствия,False,False
M252,ATA 30 - Ice and rain protection → WHC → 1,30-42-01 [U] F066,см. оценку каждого соответствия,False,False
M253,ATA 30 - Ice and rain protection → WHC → 2,30-42-01 [U] F066,см. оценку каждого соответствия,False,False
M254,ATA 30 - Ice and rain protection → AOA Heat → Capt,30-31-04 [K] F063,см. оценку каждого соответствия,False,False
M255,ATA 30 - Ice and rain protection → AOA Heat → F/o,30-31-04 [K] F063,см. оценку каждого соответствия,False,False
M256,ATA 30 - Ice and rain protection → AOA Heat → Stby,30-31-04 [K] F063,см. оценку каждого соответствия,False,False
M257,ATA 30 - Ice and rain protection → TAT Heat → Capt,30-31-05 [K] F064,см. оценку каждого соответствия,False,False
M258,ATA 30 - Ice and rain protection → TAT Heat → F/o,30-31-05 [K] F064,см. оценку каждого соответствия,False,False
M259,ATA 30 - Ice and rain protection → TAT Heat → Stby,30-31-05 [X] F065,см. оценку каждого соответствия,False,False
M260,ATA 30 - Ice and rain protection → Pitot Heat → Capt,30-31-02 [K] F061,см. оценку каждого соответствия,False,False
M261,ATA 30 - Ice and rain protection → Pitot Heat → F/o,30-31-02 [K] F061,см. оценку каждого соответствия,False,False
M262,ATA 30 - Ice and rain protection → Pitot Heat → Stby,30-31-02 [K] F061,см. оценку каждого соответствия,False,False
M263,ATA 30 - Ice and rain protection → Static Heat → Left  Capt,30-31-03 [K] F062,см. оценку каждого соответствия,False,False
M264,ATA 30 - Ice and rain protection → Static Heat → Right  Capt,30-31-03 [K] F062,см. оценку каждого соответствия,False,False
M265,ATA 30 - Ice and rain protection → Static Heat → Left  F/o,30-31-03 [K] F062,см. оценку каждого соответствия,False,False
M266,ATA 30 - Ice and rain protection → Static Heat → Right  F/o,30-31-03 [K] F062,см. оценку каждого соответствия,False,False
M267,ATA 30 - Ice and rain protection → Static Heat → Left  Stby,30-31-03 [K] F062,см. оценку каждого соответствия,False,False
M268,ATA 30 - Ice and rain protection → Static Heat → Right  Stby,30-31-03 [K] F062,см. оценку каждого соответствия,False,False
M269,ATA 30 - Ice and rain protection → PHC → 1,30-31-01 [X] F060,см. оценку каждого соответствия,False,False
M270,ATA 30 - Ice and rain protection → PHC → 2,30-31-01 [U] F059,см. оценку каждого соответствия,False,False
M271,ATA 30 - Ice and rain protection → PHC → 3,30-31-01 [U] F059,см. оценку каждого соответствия,False,False
M272,ATA 30 - Ice and rain protection → Icing → Eng 1,,соответствие FAA MMEL пока не установлено,False,False
M273,ATA 30 - Ice and rain protection → Icing → Eng 2,,соответствие FAA MMEL пока не установлено,False,False
M274,ATA 27 - Flight controls → IPPU → 1,,соответствие FAA MMEL пока не установлено,False,False
M275,ATA 27 - Flight controls → IPPU → 2,,соответствие FAA MMEL пока не установлено,False,False
M276,ATA 27 - Flight controls → Surface lock → Flap Locked,,соответствие FAA MMEL пока не установлено,False,False
M277,ATA 27 - Flight controls → Surface lock → Slat Locked,,соответствие FAA MMEL пока не установлено,False,False
M278,ATA 27 - Flight controls → Alignment fault,,соответствие FAA MMEL пока не установлено,False,False
M279,ATA 27 - Flight controls → SFCC → 1,27-51-01 [X] F040,см. оценку каждого соответствия,False,False
M280,ATA 27 - Flight controls → SFCC → 2,27-51-01 [X] F040,см. оценку каждого соответствия,False,False
M281,ATA 27 - Flight controls → Flap → Sfcc 1  Sys,,соответствие FAA MMEL пока не установлено,False,False
M282,ATA 27 - Flight controls → Flap → Sfcc 2  Sys,27-51-01 [K] F039,см. оценку каждого соответствия,False,False
M283,ATA 27 - Flight controls → Slat → Sfcc 1  Sys,,соответствие FAA MMEL пока не установлено,False,False
M284,ATA 27 - Flight controls → Slat → Sfcc 2  Sys,27-51-01 [K] F039,см. оценку каждого соответствия,False,False
M285,ATA 27 - Flight controls → Nonresettable fault → Elac 1,27-93-01 [K] F041,см. оценку каждого соответствия,False,False
M286,ATA 27 - Flight controls → Nonresettable fault → Elac 2,27-93-01 [X] F042,см. оценку каждого соответствия,False,False
M287,ATA 27 - Flight controls → Nonresettable fault → Sec 1,27-94-01 [K] F043,см. оценку каждого соответствия,False,False
M288,ATA 27 - Flight controls → Nonresettable fault → Sec 2,27-94-01 [K] F043,см. оценку каждого соответствия,False,False
M289,ATA 27 - Flight controls → Nonresettable fault → Sec 3,27-94-01 [K] F043,см. оценку каждого соответствия,False,False
M290,ATA 27 - Flight controls → Resettable fault → Elac 1,,соответствие FAA MMEL пока не установлено,False,False
M291,ATA 27 - Flight controls → Resettable fault → Elac 2,,соответствие FAA MMEL пока не установлено,False,False
M292,ATA 27 - Flight controls → Resettable fault → Sec 1,,соответствие FAA MMEL пока не установлено,False,False
M293,ATA 27 - Flight controls → Resettable fault → Sec 2,,соответствие FAA MMEL пока не установлено,False,False
M294,ATA 27 - Flight controls → Resettable fault → Sec 3,,соответствие FAA MMEL пока не установлено,False,False
M295,ATA 27 - Flight controls → Yaw damper → Channel 1,22-63-01 [K] F021,см. оценку каждого соответствия,False,False
M296,ATA 27 - Flight controls → Yaw damper → Channel 2,22-63-01 [K] F021,см. оценку каждого соответствия,False,False
M297,ATA 27 - Flight controls → Sidestick reversal → Pitch Capt,,соответствие FAA MMEL пока не установлено,False,False
M298,ATA 27 - Flight controls → Sidestick reversal → Roll Capt,,соответствие FAA MMEL пока не установлено,False,False
M299,ATA 27 - Flight controls → Sidestick reversal → Pitch F/o,,соответствие FAA MMEL пока не установлено,False,False
M300,ATA 27 - Flight controls → Sidestick reversal → Roll F/o,,соответствие FAA MMEL пока не установлено,False,False
M301,ATA 27 - Flight controls → Sidestick → Fault Capt,,соответствие FAA MMEL пока не установлено,False,False
M302,ATA 27 - Flight controls → Sidestick → Fault F/o,,соответствие FAA MMEL пока не установлено,False,False
M303,ATA 27 - Flight controls → FCDC → 1,27-95-01 [X] F045,см. оценку каждого соответствия,False,False
M304,ATA 27 - Flight controls → FCDC → 2,27-95-01 [K] F044,см. оценку каждого соответствия,False,False
M305,ATA 27 - Flight controls → Stabilizer jam,,соответствие FAA MMEL пока не установлено,False,False
M306,ATA 27 - Flight controls → Elev → L+r Failure,,соответствие FAA MMEL пока не установлено,False,False
M307,ATA 27 - Flight controls → Elev → L  Failure,,соответствие FAA MMEL пока не установлено,False,False
M308,ATA 27 - Flight controls → Elev → R  Failure,,соответствие FAA MMEL пока не установлено,False,False
M309,ATA 80 - Start faults → Start valve → Left,80-11-01 [U] F111,см. оценку каждого соответствия,False,False
M310,ATA 80 - Start faults → Start valve → Right,80-11-01 [U] F111,см. оценку каждого соответствия,False,False
M311,ATA 80 - Start faults → Hot start → Eng 1,,соответствие FAA MMEL пока не установлено,False,False
M312,ATA 80 - Start faults → Hot start → Eng 2,,соответствие FAA MMEL пока не установлено,False,False
M313,ATA 80 - Start faults → Stall/Hung start → Eng 1 Hung Start,,соответствие FAA MMEL пока не установлено,False,False
M314,ATA 80 - Start faults → Stall/Hung start → Eng 2 Hung Start,,соответствие FAA MMEL пока не установлено,False,False
M315,ATA 80 - Start faults → No ignition → Eng 1,74-31-01 [U] F107,см. оценку каждого соответствия,False,False
M316,ATA 80 - Start faults → No ignition → Eng 2,74-31-01 [U] F107,см. оценку каждого соответствия,False,False
M317,ATA 31 - Indicating/Recording system → CFDIU,31-30-01 [K] F067,см. оценку каждого соответствия,False,False
M318,ATA 31 - Indicating/Recording system → ECP,31-56-01 [U] F072,см. оценку каждого соответствия,False,False
M319,ATA 31 - Indicating/Recording system → SDAC → 1,31-55-01 [X] F071,см. оценку каждого соответствия,False,False
M320,ATA 31 - Indicating/Recording system → SDAC → 2,31-55-01 [K] F070,см. оценку каждого соответствия,False,False
M321,ATA 31 - Indicating/Recording system → FWC → 1,31-53-01 [X] F069,см. оценку каждого соответствия,False,False
M322,ATA 31 - Indicating/Recording system → FWC → 2,31-53-01 [K] F068,см. оценку каждого соответствия,False,False
M323,ATA 31 - Indicating/Recording system → CVR,23-71-01 [K] F028,см. оценку каждого соответствия,False,False
M324,ATA 31 - Indicating/Recording system → DMC → 1,31-63-02 [U] F075,см. оценку каждого соответствия,False,False
M325,ATA 31 - Indicating/Recording system → DMC → 2,31-63-02 [U] F075,см. оценку каждого соответствия,False,False
M326,ATA 31 - Indicating/Recording system → DMC → 3,31-63-02 [U] F075,см. оценку каждого соответствия,False,False
M327,ATA 31 - Indicating/Recording system → DCDU → Capt,46-21-02 [K] LIVE-NEW-01,см. оценку каждого соответствия,False,False
M328,ATA 31 - Indicating/Recording system → DCDU → Fo,46-21-02 [K] LIVE-NEW-01,см. оценку каждого соответствия,False,False
M329,ATA 31 - Indicating/Recording system → DU → Capt Pfd,31-63-01 [X] F074,см. оценку каждого соответствия,False,False
M330,ATA 31 - Indicating/Recording system → DU → Capt Nd,31-63-01 [K] F073,см. оценку каждого соответствия,False,False
M331,ATA 31 - Indicating/Recording system → DU → F/o Nd,31-63-01 [K] F073,см. оценку каждого соответствия,False,False
M332,ATA 31 - Indicating/Recording system → DU → F/o Pfd,31-63-01 [K] F073,см. оценку каждого соответствия,False,False
M333,ATA 31 - Indicating/Recording system → DU → Ecam Upper,31-63-01 [X] F074,см. оценку каждого соответствия,False,False
M334,ATA 31 - Indicating/Recording system → DU → Ecam Lower,31-63-01 [K] F073,см. оценку каждого соответствия,False,False
M335,ATA 35 - Oxygen → Crew oxygen 1 → Crew Oxygen Pressure < 400,35-13-01 [X] F096,см. оценку каждого соответствия,False,False
M336,ATA 35 - Oxygen → Crew oxygen 1 → Crew Oxygen Pressure < 800,35-13-01 [X] F096,см. оценку каждого соответствия,False,False
M337,ATA 35 - Oxygen → Crew oxygen 2 → Pressure < 400,,соответствие FAA MMEL пока не установлено,False,False
M338,ATA 35 - Oxygen → Crew oxygen 2 → Pressure < 800,,соответствие FAA MMEL пока не установлено,False,False
M339,ATA 35 - Oxygen → Crew oxygen → Oxygen Supply Valve,,соответствие FAA MMEL пока не установлено,False,False
M340,ATA 35 - Oxygen → Crew oxygen → Oxygen Supply Valve 2,,соответствие FAA MMEL пока не установлено,False,False
M341,ATA 46 - Information systems → ATSU,46-21-01 [K] F103,см. оценку каждого соответствия,False,False
M342,ATA 52 - Doors → Doors left → Forward Avionics Door,52-70-01 [U] F106,см. оценку каждого соответствия,False,False
M343,ATA 52 - Doors → Doors left → Left Avionics Door,,соответствие FAA MMEL пока не установлено,False,False
M344,ATA 52 - Doors → Doors left → Right Avionics Door,,соответствие FAA MMEL пока не установлено,False,False
M345,ATA 52 - Doors → Doors left → Forward Entry Left Door,,соответствие FAA MMEL пока не установлено,False,False
M346,ATA 52 - Doors → Doors left → Left Wing 1 Door,,соответствие FAA MMEL пока не установлено,False,False
M347,ATA 52 - Doors → Doors left → Left Wing 2 Door,,соответствие FAA MMEL пока не установлено,False,False
M348,ATA 52 - Doors → Doors left → Aft Entry Left Door,,соответствие FAA MMEL пока не установлено,False,False
M349,ATA 52 - Doors → Doors right → Forward Entry Right Door,,соответствие FAA MMEL пока не установлено,False,False
M350,ATA 52 - Doors → Doors right → Aft Avionics Door,,соответствие FAA MMEL пока не установлено,False,False
M351,ATA 52 - Doors → Doors right → Forward Cargo Door,52-70-01 [U] F106,см. оценку каждого соответствия,False,False
M352,ATA 52 - Doors → Doors right → Right Wing 1 Door,,соответствие FAA MMEL пока не установлено,False,False
M353,ATA 52 - Doors → Doors right → Right Wing 2 Door,,соответствие FAA MMEL пока не установлено,False,False
M354,ATA 52 - Doors → Doors right → Aft Cargo Door,52-70-01 [U] F106,см. оценку каждого соответствия,False,False
M355,ATA 52 - Doors → Doors right → Bulk Door,,соответствие FAA MMEL пока не установлено,False,False
M356,ATA 52 - Doors → Doors right → Aft Entry Right Door,,соответствие FAA MMEL пока не установлено,False,False
M357,ATA 70 - Power plant → Fadec → Left Channel A,,соответствие FAA MMEL пока не установлено,False,False
M358,ATA 70 - Power plant → Fadec → Left Channel B,,соответствие FAA MMEL пока не установлено,False,False
M359,ATA 70 - Power plant → Fadec → Right Channel A,,соответствие FAA MMEL пока не установлено,False,False
M360,ATA 70 - Power plant → Fadec → Right Channel B,,соответствие FAA MMEL пока не установлено,False,False
M361,ATA 70 - Power plant → EIU → 1,,соответствие FAA MMEL пока не установлено,False,False
M362,ATA 70 - Power plant → EIU → 2,,соответствие FAA MMEL пока не установлено,False,False
M363,ATA 70 - Power plant → Engine surge → Left Surge,,соответствие FAA MMEL пока не установлено,False,False
M364,ATA 70 - Power plant → Engine surge → Right Surge,,соответствие FAA MMEL пока не установлено,False,False
M365,ATA 70 - Power plant → Engine failure → Eng 1 Failure,,соответствие FAA MMEL пока не установлено,False,False
M366,ATA 70 - Power plant → Engine failure → Eng 2 Failure,,соответствие FAA MMEL пока не установлено,False,False
M367,ATA 70 - Power plant → Engine failure with damage → Eng 1 Failure With Damage,,соответствие FAA MMEL пока не установлено,False,False
M368,ATA 70 - Power plant → Engine failure with damage → Eng 2 Failure With Damage,,соответствие FAA MMEL пока не установлено,False,False
M369,ATA 70 - Power plant → Engine birdstrike → Left Bird Strike,,соответствие FAA MMEL пока не установлено,False,False
M370,ATA 70 - Power plant → Engine birdstrike → Right Bird Strike,,соответствие FAA MMEL пока не установлено,False,False
M371,ATA 70 - Power plant → Reverser pressurized → Left,78-30-01 [X] F109,см. оценку каждого соответствия,False,False
M372,ATA 70 - Power plant → Reverser pressurized → Right,78-30-01 [X] F109,см. оценку каждого соответствия,False,False
M373,ATA 70 - Power plant → Reverser unlocked → Left,78-30-01 [X] F109,см. оценку каждого соответствия,False,False
M374,ATA 70 - Power plant → Reverser unlocked → Right,78-30-01 [X] F109,см. оценку каждого соответствия,False,False
M375,ATA 70 - Power plant → Reverser inhibited by maintenance → Left Reverser Inhibited By Maint,78-30-01 [K] F108,см. оценку каждого соответствия,False,False
M376,ATA 70 - Power plant → Reverser inhibited by maintenance → Right Reverser Inhibited By Maint,78-30-01 [K] F108,см. оценку каждого соответствия,False,False
M377,ATA 70 - Power plant → vibration N1 → Eng 1 High,,соответствие FAA MMEL пока не установлено,False,False
M378,ATA 70 - Power plant → vibration N1 → Eng 2 High,,соответствие FAA MMEL пока не установлено,False,False
M379,ATA 70 - Power plant → vibration N2 → Eng 1 High,,соответствие FAA MMEL пока не установлено,False,False
M380,ATA 70 - Power plant → vibration N2 → Eng 2 High,,соответствие FAA MMEL пока не установлено,False,False
M381,ATA 70 - Power plant → Oil leak → Left,,соответствие FAA MMEL пока не установлено,False,False
M382,ATA 70 - Power plant → Oil leak → Right,,соответствие FAA MMEL пока не установлено,False,False
M383,ATA 70 - Power plant → Reverser shutoff valve → Left,,соответствие FAA MMEL пока не установлено,False,False
M384,ATA 70 - Power plant → Reverser shutoff valve → Right,,соответствие FAA MMEL пока не установлено,False,False
